id,type,name,lat,lon
64007150,area,Bezpečnostně právní akademie Brno,49.1826852,16.56085
64007172,area,Šmeral Brno,49.1926384,16.621021
64111678,area,sv. Florián,49.1761185,16.5295085
64114394,area,Domov pro seniory Okružní,49.2339355,16.6205028
64114412,area,Český metrologický institut,49.2342622,16.6220629
64115796,area,Základní škola Blažkova,49.2302535,16.6256772
64124604,area,Základní škola a Mateřská škola Sivice,49.2025046,16.7809602
64124624,area,U hřbitova,49.2072237,16.7876319
64142934,area,Hošnova vila,49.1854417,16.5662781
64142952,area,Bývalá hasičská zbrojnice,49.1753428,16.5305959
64142956,area,SOU Bosonohy,49.1761046,16.5318148
64142978,area,MŠ Konopiska,49.1718212,16.5307245
64292522,area,Šumavská Tower C,49.2099347,16.5914189
64292530,area,Šumavská Tower B,49.2099384,16.5924236
64395330,area,U groše,49.2037752,16.7818911
64395332,area,Kaple,49.2037636,16.7814734
64395336,area,U slona,49.2043833,16.7829447
64408224,area,Penzion List (Koleje VUT),49.2091538,16.5950905
187705,area,Právnická fakulta MU,49.2084747,16.592081
64410534,area,Velké nádvoří,49.1944033,16.5987872
64410542,area,Malé nádvoří,49.1942215,16.5994372
64413440,area,Congress Hall,49.1841163,16.5798162
64413468,area,veletržní kino,49.1891358,16.5821321
64488860,area,Jaselská kasárna,49.2136166,16.6010661
64493056,area,SSO Zemanova-Černozemní,49.1765792,16.6820803
64493342,area,Slatinka,49.1789869,16.6841677
64507472,area,ČOV Brno - Modřice,49.1243896,16.62728
64509750,area,U Havlů,49.191032,16.7758706
64509786,area,U Šírů,49.1914253,16.7728621
64509796,area,Základní škola Tvarožná,49.1899928,16.7745843
64526074,area,Základní škola Pozořice,49.2063175,16.7967012
64912262,area,IBM Centre FG (Reception),49.2256059,16.5772015
64912264,area,IBM centre DE,49.2250175,16.5776395
64912266,area,IBM centre BC,49.2244295,16.578078
64912272,area,IBM Parking place Employee,49.2259315,16.5779727
65027094,area,Kluziště Za Lužánkami,49.2113454,16.6083903
65069194,area,Hudební fakulta JAMU,49.1970525,16.6040396
65070306,area,Chleborádova vila,49.2015221,16.6022073
65079008,area,Památník Leoše Janáčka,49.2015264,16.6026503
65471008,area,SSO J.Faimonové,49.2025864,16.6770314
65471016,area,Gambrinus,49.2030804,16.6786334
65471018,area,"SolidVision, s.r.o.",49.2029499,16.6789606
65523370,area,Dětské hřiště,49.2902949,16.6644008
65531604,area,Dům s opečovatelskou službou,49.2081906,16.7927329
65531612,area,Úřad městyse,49.2084516,16.7882927
65605666,area,letohrádek Mitrovských,49.1883136,16.5889196
65605670,area,Fakulta výtvarných umění VUT,49.1864488,16.5878118
65605674,area,Léčebna pro dlouhodobě nemocné,49.1814102,16.585826
65608500,area,Kohnova cihelna,49.1783561,16.5867881
392361,area,Petrov,49.191174,16.606787
65847084,area,svatý Kříž a Panna Marie,49.190713,16.6068163
65902300,area,SK Malomerice,49.2164222,16.6457849
65946918,area,Krematorium,49.1723058,16.5894879
66531276,area,Areál ZD Pozořice,49.2022231,16.7957489
66808244,area,lesovna u jezírka,49.2693544,16.6297555
66814228,area,Hájenka Soběšice,49.2597817,16.6232859
67026906,area,Trafika U Arthura,49.1941817,16.6408731
67078412,area,Na hřišti,49.2566481,16.6171262
67124870,area,Pronachem,49.2094898,16.7914866
67124880,area,Fanda,49.2090614,16.7924804
67124886,area,Zámeček,49.208751,16.7912729
67124900,area,Pánská zahrada,49.2088684,16.7915156
67124946,area,Lékárna na Městečku,49.2100838,16.791422
67124948,area,Drogerie,49.2101252,16.7915012
67124968,area,zahradnictví,49.2066545,16.7903054
67124980,area,Biocentrum Panská zahrada,49.2073891,16.7927554
67131202,area,Cyklosport,49.1941533,16.6399255
67211500,area,sv. Florián (kaple),49.1769738,16.6875755
67580490,area,školní sad,49.2056392,16.7972256
67580508,area,TECHNO-CONSULT s.r.o.,49.2076196,16.8001726
67623592,area,MŠ Pozořice,49.2092203,16.7963876
67663822,area,Bouda,49.1728663,16.6868335
67786230,area,park Stanislava Krátkého,49.2125793,16.6243042
68080892,area,Penzion U Doležalů,49.1921323,16.6411235
68230876,area,Kongresové centrum Brno,49.1889139,16.5845413
68254036,area,Starobrno a.s.,49.1909329,16.592149
68362040,area,Reda a.s.,49.1829522,16.6887491
68362310,area,Terénky,49.1821572,16.6827024
68400702,area,Letiště Ivančice u Brna,49.0962673,16.4768775
68410328,area,sv. Anna,49.1057475,16.4693421
68432742,area,Kostel Panny Marie,49.1139552,16.4263687
68678650,area,Plynárna,49.1786795,16.6839935
68737712,area,Vlněna Office Park,49.1886116,16.6159578
68778568,area,Šujanovo náměstí,49.1895977,16.6199511
68806670,area,Gymnázium J.G. Mendela a ZUŠ,49.1891497,16.6207143
69252460,area,Praktický lékař,49.2199501,16.7517055
69252472,area,U Zbojníka,49.2196644,16.7527139
69261318,area,Obecní knihovna Mokrá-Horákov,49.2181092,16.7550317
69269284,area,kaple Proměnění Páně,49.2250052,16.7509398
69281558,area,kaple sv. Gottharda,49.2144729,16.7451208
69281566,area,Mateřská škola Horákov,49.213305,16.7441626
69281572,area,V Líchách,49.2187093,16.7475528
69390424,area,Dům s pečovatelskou službou,49.2125827,16.7456138
69396814,area,Zemědělské družstvo Mokrá-Horákov,49.2091901,16.7405927
69398802,area,Milhouse,49.1894125,16.625716
69398852,area,OC Nosreti,49.1909287,16.6218002
69411156,area,Křenová 72,49.1910602,16.6269516
69411158,area,Zderad,49.1909652,16.6263356
69424756,area,Pipuška,49.2137997,16.7452084
69433016,area,Dům s pečovatelskou službou Zderadova 5,49.1900054,16.6273443
69433024,area,MŠ Křenová,49.1908992,16.6276942
69465618,area,Ubytovna Stella,49.1904149,16.6306065
69465638,area,Club 68,49.1905306,16.6308276
69465644,area,HK auto,49.1907512,16.6304837
69558272,area,Horákovská myslivna,49.214397,16.7348719
69786554,area,Bunkr,49.2069328,16.7247658
69978052,area,Psychiatrická nemocnice Brno,49.1843229,16.6372015
70198790,area,Hasičská zbrojnice,49.2095568,16.7951635
71866378,area,Karas,49.1974131,16.6390536
72116306,area,Vrchlického sad,49.2047554,16.6119103
72133464,area,Horizont/Dyha,49.218569,16.639295
73897160,area,Mateřská škola Mazourova,49.1904047,16.6575614
73955978,area,OC Max,49.2208196,16.5181654
74021584,area,Koupaliště Juliánov,49.1917674,16.6529095
74068406,area,"LEAR, a.s.",49.1888722,16.6546102
75087062,area,Střelice,49.1505692,16.5178425
75217290,area,Stáj Scree,49.1440446,16.5037897
75673532,area,Bývalé koupaliště Radostice,49.1384861,16.468012
75673540,area,Sv. Šimon a Juda,49.1320982,16.4781047
75792726,area,Městský stadion Srbská,49.2274222,16.5852411
75838446,area,Orelské cvičiště,49.2463475,16.5763766
75915444,area,Barevné hřiště,49.2039313,16.6590785
76255282,area,Žabí jezírko,49.2301204,16.4803281
76277630,area,Rozmarýn,49.1997593,16.6050876
76538974,area,MŠ Tučkova,49.2083415,16.5974526
76751856,area,Sokolské koupaliště,49.2424126,16.5125835
76909958,area,Spálená - Clarion hotel,49.1905518,16.6147118
77086220,area,"NEDO Plus, s.r.o.",49.1926797,16.6368396
77166662,area,Restaurace a herna U Tety,49.2206455,16.5165195
77565946,area,dům s pečovatelskou službou,49.1525595,16.489888
77565970,area,Koupaliště Střelice,49.1534459,16.4962205
78036786,area,Zemanova kavárna,49.1977014,16.6133
78036792,area,Dům umění města Brna,49.1963203,16.6143648
78238904,area,Hitlerův pilíř,49.2332438,16.521376
78382998,area,Medlánky,49.2371843,16.569548
78496142,area,Golfclub Kaskáda Brno,49.2869605,16.5229591
78504550,area,Policie ČR - Jízdní policie,49.2490158,16.5399792
78721734,area,padlí vojáci Rudé armády,49.1853094,16.5650391
78806340,area,obecní úřad,49.1322576,16.4790771
79339536,area,Písky,49.0955179,16.721418
79340552,area,A4 (ILBIT),49.1771519,16.5716353
79340554,area,A3 (ILBIT),49.1771272,16.5721377
79340556,area,A2 (ILBIT),49.1771012,16.5726464
79342152,area,Pila Tetčice,49.1709408,16.4050516
